0,150,150,75,450
1,119,146,64,402
2,109,141,57,369
3,119,138,48,330
4,101,133,45,313
5,101,129,42,297
6,205,139,51,343
7,107,135,46,319
8,106,131,42,299
9,102,127,39,283
10,118,126,32,254
11,102,123,30,243
12,270,141,59,377
13,106,137,53,349
14,106,133,48,325
15,117,131,40,291
16,118,129,33,261
17,119,128,27,236
18,101,125,27,233
19,109,123,24,219
20,118,122,19,198
21,100,119,20,199
22,103,117,19,193
23,107,116,17,184
24,116,116,13,168
25,117,116,10,156
26,110,115,9,151
27,113,115,7,143
28,105,114,8,146
29,102,113,9,149
30,109,113,8,145
31,119,114,8,146
32,106,113,8,145
33,103,112,9,148
34,101,111,10,151
35,106,110,9,146
36,103,109,9,145
37,104,108,8,140
38,115,109,8,141
39,105,109,7,137
40,107,109,6,133
41,100,108,7,136
42,107,108,6,132
43,101,107,6,131
44,114,108,6,132
45,109,108,5,128
46,267,128,44,304
47,113,126,37,274
48,119,125,30,245
49,210,136,44,312
50,114,133,39,289
51,111,130,35,270
52,107,127,32,255
53,109,125,29,241
54,108,123,26,227
55,117,122,21,206
56,104,120,20,200
57,114,119,17,187
58,111,118,15,178
59,117,118,12,166
60,118,118,9,154
61,117,118,7,146
62,105,116,9,152
63,237,131,37,279
64,107,128,34,264
65,100,125,33,257
66,113,124,28,236
67,101,121,27,229
68,109,120,23,212
69,237,135,47,323
70,102,131,44,307
71,108,128,39,284
72,103,125,36,269
73,252,141,59,377
74,102,136,54,352
75,115,133,46,317
76,239,146,61,390
77,117,142,53,354
78,247,155,66,419
79,119,151,59,387
80,107,146,55,366
81,115,142,49,338
82,112,138,44,314
83,106,134,41,298
84,106,131,38,283
85,113,129,33,261
86,111,127,29,243
87,100,124,29,240
88,117,123,24,219
89,105,121,23,213
90,114,120,19,196
91,287,141,56,365
92,117,138,48,330
93,106,134,44,310
94,117,132,37,280
95,104,129,35,269
96,114,127,30,247
97,112,125,26,229
98,100,122,26,226
99,102,120,25,220
